"ST_CASE","COUNTY","CITY","DAY","MONTH","YEAR","DAY_WEEK","HOUR","MINUTE","LATITUDE","LONGITUD","WEATHER","FATALS","DRUNK_DR"
180542,109,2890,24,9,2015,5,14,18,39.43941944,-86.35005556,1,2,0
180543,39,1410,27,9,2015,1,21,5,41.73902778,-85.94816111,1,1,1
180544,63,3990,12,8,2015,4,13,7,39.65752222,-86.39155833,1,1,0
180545,119,4630,15,9,2015,3,17,16,39.29949167,-86.74299722,1,1,0
180546,181,3130,16,9,2015,4,13,35,40.86064722,-86.879025,1,1,0
180547,89,1730,24,9,2015,5,20,35,41.53692778,-87.33634722,10,1,0
180548,51,2816,24,9,2015,5,15,18,38.25284444,-87.43280278,1,2,0
180549,97,2210,27,9,2015,1,18,5,39.82457222,-86.25573056,1,1,0
180550,33,220,22,9,2015,3,3,22,41.35664722,-85.08695833,1,1,0
180551,167,5230,29,9,2015,3,13,20,39.60040833,-87.43756389,2,1,0
180552,67,2430,30,9,2015,4,17,28,40.52072778,-86.05094722,1,1,0
180553,3,1580,30,9,2015,4,16,7,41.21608611,-85.10478889,1,2,0
180554,97,2210,10,7,2015,6,21,30,39.79363889,-86.07389444,1,1,0
180555,163,1480,23,9,2015,4,13,4,37.82766944,-87.63774167,1,1,0
180556,57,3590,26,9,2015,7,22,57,40.01614722,-85.93797778,10,1,0
180557,27,5120,27,9,2015,1,15,19,38.59779167,-87.20067778,10,1,0
180558,167,4840,18,9,2015,6,21,6,39.46269444,-87.31435556,1,1,0
180559,97,2210,24,9,2015,5,23,49,39.66593889,-86.08507778,1,1,1
180560,43,3400,30,9,2015,4,23,13,38.35466667,-85.79146111,1,1,1
180562,37,2260,5,10,2015,2,15,41,38.43284722,-87.04496667,1,1,0
180563,13,3390,1,10,2015,5,10,40,39.32133056,-86.17069167,10,1,0
180564,27,670,6,10,2015,3,12,7,38.66453611,-86.92945556,1,1,0
180565,97,2210,26,5,2015,3,14,50,39.76999167,-86.08886111,2,1,0
180566,57,1540,28,9,2015,2,22,28,39.98628056,-86.00402778,1,1,0
180567,123,4820,29,9,2015,3,20,35,38.22207778,-86.71328889,10,1,1
180568,95,140,4,10,2015,1,20,21,40.13688333,-85.63261667,1,1,1
180569,119,4630,4,10,2015,1,21,22,39.29978333,-86.74290556,1,1,0
180570,97,2210,3,10,2015,7,22,40,39.77480833,-86.09277778,10,1,0
180571,97,2210,3,10,2015,7,2,33,39.69554167,-86.03873611,2,1,0
180572,89,4380,5,10,2015,2,2,45,41.51679167,-87.47123611,1,1,0
180573,5,990,7,10,2015,4,16,55,39.14334722,-85.95823889,1,1,0
180574,89,4300,7,10,2015,4,3,0,41.42108611,-87.44264722,5,1,0
180575,111,3270,4,10,2015,1,8,56,40.96596944,-87.46932778,10,1,0
180576,59,1890,28,7,2015,3,16,11,39.82937778,-85.58977222,1,1,0
